CUI,freq
C0003364,74
C1874267,9
C3537168,9
C0018301,6
C4543206,5
C1422069,6
C1425391,6
C1539338,6
C2350813,6
C0022646,23
C1521970,49
C0359086,17
C1524062,10
C0868908,3
C0007465,9
C1317301,6
C0016017,3
C0205225,68
C0439612,55
C0439631,55
C1305868,3
C0015733,5
C0376249,6
C0439603,6
C0871396,6
C1561548,6
C1705502,6
C3898838,6
C4321352,6
C0183622,2
C1418975,1
C1420002,1
C1425004,1
C0205198,6
C1706082,6
C3853627,26
C0545082,37
C0023824,68
C0202117,52
C1512346,39
C2826704,34
C0079284,1
C0205307,61
C1739039,201
C3812682,201
C0231683,61
C0439166,61
C2347086,61
C4553972,61
C0030428,10
C3538810,8
C0016006,3
C1167394,3
C2587184,3
C3540039,3
C0102923,8
C0451208,9
C3533236,36
C3890735,93
C0086045,23
C1446561,20
C3827302,20
C4048285,115
C0012582,3
C0439178,54
C1446409,55
C1514241,54
C2825490,54
C3812269,55
C1704675,119
C0232462,1
C0037707,2
C2986759,20
C0332170,6
C0035448,30
C0201660,30
C0748398,22
C1547111,22
C1707391,16
C0205100,17
C0581603,50
C0239307,9
C1535514,9
C0220938,63
C1517205,5
C3540542,5
C3854258,1
C0702093,129
C1524029,114
C3813700,114
C3854259,1
C0443318,15
C2732140,9
C1261082,6
C0184906,9
C3146289,9
C1551056,4
C0442038,4
C0444454,7
C1554204,7
C0920847,4
C0683519,42
C0489868,6
C0730226,31
C0850708,31
C0944983,31
C0008976,41
C0205160,13
C1513916,13
C2825415,14
C2825491,13
C3853545,13
C3274777,1
C0006558,9
C0001807,2
C0580822,2
C0002006,5
C0001554,13
C0376636,11
C1273870,12
C3273539,11
C0280604,66
C3542407,66
C0036773,7
C0439267,73
C0728877,7
C0442120,2
C0018681,1
C4553197,1
C0205091,18
C0003842,19
C0226004,8
C1542147,15
C0443246,17
C1552822,16
C0443211,26
C1272684,26
C0079399,72
C0086582,107
C0043210,122
C1705497,56
C1705498,56
C1706180,60
C1706428,55
C1706429,55
C1522384,72
C0008466,4
C0002965,29
C0682125,10
C4086878,26
C0439659,16
C0035124,3
C0872913,3
C0684253,3
C0227952,2
C0021107,3
C0441587,2
C1512796,2
C1883719,2
C0221464,11
C0060657,8
C1879937,23
C0012315,3
C0220821,3
C2718773,16
C0023556,11
C0038317,15
C1561643,57
C1882083,26
C0585361,11
C1527129,7
C4318437,5
C0741132,5
C0304289,8
C0935929,20
C1948050,4
C0332173,91
C0439505,38
C1243102,2
C1525410,20
C1706063,15
C4441842,4
C0231999,9
C0443288,10
C0449295,10
C2603360,36
C1511069,2
C2964552,55
C0206132,13
C0332162,6
C0021308,39
C1999375,17
C3887676,24
C0607430,1
C1527178,20
C0242931,1
C0370003,10
C1515051,5
C2347026,10
C1705938,18
C0005893,136
C0871472,5
C0039155,43
C1305855,150
C0012000,29
C0005767,16
C0005768,16
C0229664,17
C4684582,1
C0439828,45
C0348016,13
C0012963,1
C0033144,4
C0248719,5
C0549177,6
C2003901,18
C0522498,4
C2364172,1
C0439165,53
C0270549,5
C1414925,5
C0443081,1
C4053960,7
C0205373,23
C0005910,133
C1711350,22
C0043100,102
C1305866,129
C1705104,101
C1722260,16
C0041573,3
C0439211,5
C0010346,14
C0439849,48
C0445223,41
C0038894,26
C0038895,26
C0543467,29
C1274039,26
C0852949,5
C0332174,235
C0439230,253
C4050465,98
C4050466,98
C1707479,13
C0243161,22
C0225860,5
C1301886,11
C0225861,4
C0024119,3
C2598152,2
C0003211,25
C0035439,1
C0085532,7
C1548829,7
C0184661,44
C0886296,25
C1273869,25
C0040223,163
C3541383,160
C0336867,9
C0021398,8
C1568891,11
C1318493,8
C0441144,9
C0683368,36
C1457887,57
C0016704,9
C0036140,6
C0037494,6
C0206136,6
C1419068,9
C1419906,9
C3541238,9
C3541412,9
C0348080,14
C1705253,14
C3864998,14
C0040207,7
C1620287,3
C0035970,20
C0017452,4
C1302234,45
C1705232,45
C0242606,1
C1448177,59
C0003593,38
C0003592,17
C0523508,17
C4553344,14
C4553379,26
C3252643,30
C0439092,19
C0086409,33
C0001925,21
C0815320,106
C4551720,106
C0252643,4
C0028125,18
C0699857,14
C3848573,14
C0332237,6
C3842976,2
C0232237,2
C0232278,2
C3810537,30
C3813209,30
C0019139,12
C3536766,12
C1272706,13
C1552654,13
C1552713,13
C0155709,4
C0206578,12
C0205265,15
C1555582,15
C1705685,15
C0679214,4
C0582802,5
C3241971,4
C1698987,4
C0428472,1
C0058890,4
C0286651,24
C0278947,3
C0332257,39
C0026544,40
C0332177,67
C0332293,13
C4317006,2
C0003872,7
C0030193,14
C0518090,14
C1962977,14
C2984058,14
C4085210,14
C4085211,15
C4085212,14
C4553004,14
C4554132,14
C1176468,3
C1619634,3
C4696290,7
C0042285,4
C0523975,4
C0226001,2
C0001168,3
C0241970,2
C0011382,3
C0028778,5
C0441597,3
C1110554,3
C1947917,3
C0700321,20
C0264995,2
C0018810,45
C0444505,3
C0025664,6
C2700391,18
C3274430,15
C3538935,5
C3539779,15
C0079613,30
C1704930,30
C1869853,30
C3890007,30
C4048375,30
C0231448,6
C0206460,10
C0231449,3
C0439792,10
C1280519,17
C1707887,16
C3537184,9
C0455825,3
C0600653,117
C0456715,4
C0918012,117
C1552854,117
C1637833,117
C0587184,10
C1287371,2
C0032659,50
C1257890,148
C0034042,1
C0086839,1
C1879329,1
C0441838,4
C0210243,6
C1507394,5
C2348563,5
C2599718,5
C0674679,6
C1145759,6
C1334862,6
